Date,Downstream Project,Upstream Project,Diff Status,Files Changed,Line Insertions,Line Deletions,Line Changes,Commits Not Upstreamed
2018/03/02,platform/external/freetype,platform/external/freetype,Modified Projects,727,207147,16123,223270,4491
2018/03/02,platform/external/javaparser,,Downstream Only Projects,0,0,0,0,0
2018/03/02,device/google/cuttlefish_kernel,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/system/hwservicemanager,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/seccomp-tests,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/hardware/broadcom/wlan,platform/hardware/broadcom/wlan,Modified Projects,24,313,129,442,24
2018/03/02,device/google/contexthub,device/google/contexthub,Modified Projects,509,91811,55404,147215,416
2018/03/02,platform/hardware/qcom/display,platform/hardware/qcom/display,Modified Projects,717,121078,2678,123756,174
2018/03/02,platform/frameworks/opt/bitmap,platform/frameworks/opt/bitmap,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/libpng,platform/external/libpng,Modified Projects,274,57096,2528,59624,9
2018/03/02,platform/external/caliper,platform/external/caliper,Modified Projects,6,104,28,132,7
2018/03/02,platform/hardware/intel/audio_media,platform/hardware/intel/audio_media,Modified Projects,1,1,1,2,1
2018/03/02,platform/test/vti/alert,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/DevCamera,platform/packages/apps/DevCamera,Modified Projects,3,110,5,115,1
2018/03/02,platform/external/python/pyparsing,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/iputils,platform/external/iputils,Modified Projects,2,12,0,12,4
2018/03/02,platform/external/iw,platform/external/iw,Modified Projects,1,7,3,10,3
2018/03/02,device/common,device/common,Modified Projects,3,52,14,66,10
2018/03/02,platform/hardware/intel/common/omx-components,platform/hardware/intel/common/omx-components,Modified Projects,877,51,336747,336798,8
2018/03/02,platform/packages/apps/Car/LocalMediaPlayer,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/python/google-gax,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/jsoncpp,platform/external/jsoncpp,Modified Projects,2,29,27,56,4
2018/03/02,device/generic/common,device/generic/common,Modified Projects,1,73,0,73,5
2018/03/02,platform/frameworks/opt/colorpicker,platform/frameworks/opt/colorpicker,Modified Projects,30,1,1,2,2
2018/03/02,platform/external/drrickorang,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/protobuf,platform/external/protobuf,Modified Projects,1460,448521,84925,533446,32
2018/03/02,platform/hardware/nxp/secure_element,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/jsmn,platform/external/jsmn,Modified Projects,2,23,24,47,2
2018/03/02,device/google/dragon-kernel,device/google/dragon-kernel,Modified Projects,2,0,0,0,0
2018/03/02,platform/external/fonttools,platform/external/fonttools,Modified Projects,1,39,0,39,1
2018/03/02,platform/external/aac,platform/external/aac,Modified Projects,18,124,150,274,13
2018/03/02,platform/external/guice,platform/external/guice,Modified Projects,3,107,174,281,3
2018/03/02,platform/packages/apps/Car/LensPicker,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/frameworks/data-binding,platform/frameworks/data-binding,Modified Projects,186,9674,3276,12950,20
2018/03/02,platform/external/libpcap,platform/external/libpcap,Modified Projects,236,30402,18083,48485,8
2018/03/02,platform/external/llvm,platform/external/llvm,Modified Projects,9078,720363,264391,984754,44
2018/03/02,platform/external/hyphenation-patterns,platform/external/hyphenation-patterns,Modified Projects,19,19282,502,19784,2
2018/03/02,platform/packages/apps/BasicSmsReceiver,platform/packages/apps/BasicSmsReceiver,Modified Projects,32,5,4,9,3
2018/03/02,platform/external/dlmalloc,platform/external/dlmalloc,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/mockito,platform/external/mockito,Modified Projects,1376,71433,61952,133385,14
2018/03/02,platform/packages/apps/Test/connectivity,platform/packages/apps/Test/connectivity,Modified Projects,50,4443,508,4951,34
2018/03/02,platform/hardware/intel/img/psb_video,platform/hardware/intel/img/psb_video,Modified Projects,24,403,245,648,9
2018/03/02,platform/system/vold,platform/system/vold,Modified Projects,55,3686,2148,5834,97
2018/03/02,platform/external/xmp_toolkit,platform/external/xmp_toolkit,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/iproute2,platform/external/iproute2,Modified Projects,466,42146,14669,56815,919
2018/03/02,platform/external/tinyxml2,platform/external/tinyxml2,Modified Projects,31,14249,1555,15804,9
2018/03/02,platform/external/python/oauth2client,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/hardware/qcom/camera,platform/hardware/qcom/camera,Modified Projects,189,45726,13356,59082,218
2018/03/02,platform/packages/services/Telephony,platform/packages/services/Telephony,Modified Projects,665,32926,42731,75657,546
2018/03/02,platform/external/glide,platform/external/glide,Modified Projects,5,98,4,102,2
2018/03/02,platform/external/chromium-webview,platform/external/chromium-webview,Modified Projects,7,5,7,12,0
2018/03/02,platform/external/golang-protobuf,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/frameworks/rs,platform/frameworks/rs,Modified Projects,2010,132703,52914,185617,388
2018/03/02,platform/external/libavc,platform/external/libavc,Modified Projects,95,2939,1957,4896,94
2018/03/02,platform/packages/providers/BlockedNumberProvider,platform/packages/providers/BlockedNumberProvider,Modified Projects,34,11,3,14,10
2018/03/02,device/google/accessory/arduino,device/google/accessory/arduino,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/tpm2,platform/external/tpm2,Modified Projects,1025,792,170603,171395,40
2018/03/02,device/google/vrservices,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/ant-glob,platform/external/ant-glob,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/easymock,platform/external/easymock,Modified Projects,2,3,3,6,2
2018/03/02,platform/test/vts-testcase/nbu,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/libunwind_llvm,platform/external/libunwind_llvm,Modified Projects,48,3771,1132,4903,122
2018/03/02,platform/packages/apps/TvSettings,platform/packages/apps/TvSettings,Modified Projects,437,11904,14501,26405,185
2018/03/02,platform/hardware/intel/common/libwsbm,platform/hardware/intel/common/libwsbm,Modified Projects,3,13,5,18,2
2018/03/02,device/generic/mini-emulator-arm64,device/generic/mini-emulator-arm64,Modified Projects,1,2,2,4,1
2018/03/02,platform/external/google-fonts/carrois-gothic-sc,platform/external/google-fonts/carrois-gothic-sc,Intact Projects,0,0,0,0,0
2018/03/02,platform/frameworks/wilhelm,platform/frameworks/wilhelm,Modified Projects,147,3462,2894,6356,34
2018/03/02,platform/external/android-clat,platform/external/android-clat,Modified Projects,7,21,10,31,7
2018/03/02,platform/developers/demos,platform/developers/demos,Modified Projects,1,2,2,4,1
2018/03/02,platform/system/libvintf,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/python/appdirs,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/test/sts,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/frameworks/ml,platform/frameworks/ml,Modified Projects,797,67360,7293,74653,246
2018/03/02,device/generic/goldfish,device/generic/goldfish,Modified Projects,241,10682,40783,51465,127
2018/03/02,platform/packages/apps/UnifiedEmail,platform/packages/apps/UnifiedEmail,Modified Projects,73,223,130,353,8
2018/03/02,platform/external/shaderc/spirv-headers,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/Car/Media,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/sonic,platform/external/sonic,Modified Projects,2,14,13,27,3
2018/03/02,platform/hardware/qcom/power,platform/hardware/qcom/power,Modified Projects,1,1,0,1,1
2018/03/02,platform/packages/providers/DownloadProvider,platform/packages/providers/DownloadProvider,Modified Projects,145,976,860,1836,67
2018/03/02,platform/external/testng,platform/external/testng,Modified Projects,3,71,138,209,2
2018/03/02,platform/external/python/enum34,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/hardware/akm,platform/hardware/akm,Modified Projects,9,23,14,37,5
2018/03/02,platform/packages/apps/Provision,platform/packages/apps/Provision,Modified Projects,1,1,0,1,1
2018/03/02,platform/packages/services/Mms,platform/packages/services/Mms,Modified Projects,7,65,11,76,8
2018/03/02,platform/external/apache-harmony,platform/external/apache-harmony,Modified Projects,1030,5663,86607,92270,55
2018/03/02,platform/external/scapy,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/libnativehelper,platform/libnativehelper,Modified Projects,39,3635,702,4337,27
2018/03/02,platform/external/mp4parser,platform/external/mp4parser,Modified Projects,1,2,2,4,1
2018/03/02,device/asus/fugu,device/asus/fugu,Modified Projects,66,1837,934,2771,79
2018/03/02,platform/external/ksoap2,platform/external/ksoap2,Modified Projects,1,1,1,2,1
2018/03/02,platform/external/zlib,platform/external/zlib,Modified Projects,80,2597,2373,4970,20
2018/03/02,platform/external/dexmaker,platform/external/dexmaker,Modified Projects,384,6182,65919,72101,26
2018/03/02,platform/external/libcxx,platform/external/libcxx,Modified Projects,4890,228917,85679,314596,1815
2018/03/02,platform/external/owasp/sanitizer,platform/external/owasp/sanitizer,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/crcalc,platform/external/crcalc,Modified Projects,12,1014,27,1041,10
2018/03/02,platform/external/sonivox,platform/external/sonivox,Modified Projects,18,167,124,291,8
2018/03/02,platform/external/vboot_reference,platform/external/vboot_reference,Modified Projects,8,52,8,60,8
2018/03/02,platform/external/libmtp,platform/external/libmtp,Modified Projects,627,272614,50310,322924,1766
2018/03/02,platform/bootable/recovery,platform/bootable/recovery,Modified Projects,737,21578,19445,41023,405
2018/03/02,platform/external/python/rsa,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/hardware/broadcom/libbt,platform/hardware/broadcom/libbt,Modified Projects,19,286,988,1274,20
2018/03/02,platform/development,platform/development,Modified Projects,5747,214723,508526,723249,484
2018/03/02,platform/platform_testing,platform/platform_testing,Modified Projects,407,21369,18496,39865,314
2018/03/02,platform/external/antlr,platform/external/antlr,Modified Projects,3,21,35,56,2
2018/03/02,toolchain/pgo-profiles,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/python/scipy,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/google-fonts/coming-soon,platform/external/google-fonts/coming-soon,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/wpa_supplicant_8,platform/external/wpa_supplicant_8,Modified Projects,437,67204,11716,78920,144
2018/03/02,platform/system/bt,platform/system/bt,Modified Projects,1603,335629,313749,649378,1183
2018/03/02,platform/packages/providers/UserDictionaryProvider,platform/packages/providers/UserDictionaryProvider,Modified Projects,34,8,3,11,5
2018/03/02,platform/external/abi-compliance-checker,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/Car/SystemUpdater,,Downstream Only Projects,0,0,0,0,0
2018/03/02,device/google/muskie,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/fio,platform/external/fio,Modified Projects,248,27821,7867,35688,5
2018/03/02,platform/external/devlib,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/dnsmasq,platform/external/dnsmasq,Modified Projects,76,194,25653,25847,11
2018/03/02,platform/packages/apps/CarrierConfig,platform/packages/apps/CarrierConfig,Modified Projects,438,4922,1075,5997,95
2018/03/02,platform/tools/apkzlib,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/python/cpython3,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/python/cpython2,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/libnfnetlink,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/hardware/qcom/bootctrl,platform/hardware/qcom/bootctrl,Modified Projects,2,230,169,399,10
2018/03/02,platform/external/avb,,Downstream Only Projects,0,0,0,0,0
2018/03/02,kernel/configs,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/build/kati,platform/build/kati,Modified Projects,121,3669,1155,4824,98
2018/03/02,platform/external/noto-fonts,platform/external/noto-fonts,Modified Projects,75,7466,328,7794,37
2018/03/02,platform/external/ppp,platform/external/ppp,Modified Projects,1,0,3,3,0
2018/03/02,platform/external/eigen,platform/external/eigen,Modified Projects,1091,136441,45090,181531,11
2018/03/02,platform/build/soong,platform/build/soong,Modified Projects,305,55308,10839,66147,995
2018/03/02,platform/external/python/olefile,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/frameworks/opt/timezonepicker,platform/frameworks/opt/timezonepicker,Modified Projects,61,3,3,6,3
2018/03/02,platform/external/python/grpcio,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/elfutils,platform/external/elfutils,Modified Projects,9,187,805,992,3
2018/03/02,platform/external/libcups,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/dng_sdk,platform/external/dng_sdk,Modified Projects,8,255,179,434,12
2018/03/02,platform/external/libevent,platform/external/libevent,Modified Projects,200,66156,12334,78490,12
2018/03/02,platform/external/libdaemon,platform/external/libdaemon,Modified Projects,1,2,0,2,1
2018/03/02,platform/external/valgrind,platform/external/valgrind,Modified Projects,1511,2644006,403782,3047788,13
2018/03/02,platform/external/libchrome,platform/external/libchrome,Modified Projects,981,64230,78050,142280,45
2018/03/02,platform/external/rmi4utils,platform/external/rmi4utils,Modified Projects,8,215,6,221,3
2018/03/02,platform/system/libhwbinder,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/hardware/qcom/wlan,platform/hardware/qcom/wlan,Modified Projects,47,7781,2103,9884,86
2018/03/02,platform/packages/services/Telecomm,platform/packages/services/Telecomm,Modified Projects,325,25249,6424,31673,322
2018/03/02,platform/system/connectivity/wifilogd,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/system/hardware/interfaces,,Downstream Only Projects,0,0,0,0,0
2018/03/02,device/google/atv,device/google/atv,Modified Projects,96,2109,16,2125,26
2018/03/02,platform/test/vti/dashboard,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/wallpapers/LivePicker,platform/packages/wallpapers/LivePicker,Modified Projects,100,918,173,1091,36
2018/03/02,platform/external/python/Pillow,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/python/grpc-google-iam-v1,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/subsampling-scale-image-view,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/libnetfilter_conntrack,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/hardware/google/apf,platform/hardware/google/apf,Modified Projects,4,91,2,93,3
2018/03/02,platform/hardware/intel/common/utils,platform/hardware/intel/common/utils,Modified Projects,21,383,207,590,15
2018/03/02,platform/system/media,platform/system/media,Modified Projects,124,8148,2935,11083,137
2018/03/02,platform/tools/repohooks,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/Car/Stream,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/hardware/marvell/bt,platform/hardware/marvell/bt,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/libcap-ng,platform/external/libcap-ng,Modified Projects,2,16,27,43,1
2018/03/02,platform/hardware/intel/img/hwcomposer,platform/hardware/intel/img/hwcomposer,Modified Projects,45,1722,366,2088,19
2018/03/02,platform/external/jacoco,platform/external/jacoco,Modified Projects,756,16097,3025,19122,174
2018/03/02,platform/external/opencv,platform/external/opencv,Modified Projects,6,52,11,63,6
2018/03/02,platform/external/libcxxabi,platform/external/libcxxabi,Modified Projects,113,8725,5444,14169,197
2018/03/02,platform/external/google-api-services-storage,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/nanohttpd,platform/external/nanohttpd,Intact Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/CertInstaller,platform/packages/apps/CertInstaller,Modified Projects,51,212,221,433,21
2018/03/02,platform/external/tcpdump,platform/external/tcpdump,Modified Projects,745,367599,11762,379361,11
2018/03/02,platform/external/puffin,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/frameworks/opt/net/voip,platform/frameworks/opt/net/voip,Modified Projects,7,103,103,206,4
2018/03/02,platform/external/fec,platform/external/fec,Modified Projects,2,28,25,53,3
2018/03/02,platform/external/unicode,platform/external/unicode,Modified Projects,22,4837,2824,7661,8
2018/03/02,device/generic/x86_64,device/generic/x86_64,Modified Projects,1,3,4,7,2
2018/03/02,platform/tools/metalava,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/piex,platform/external/piex,Modified Projects,6,108,62,170,12
2018/03/02,platform/external/bsdiff,platform/external/bsdiff,Modified Projects,83,5189,680,5869,53
2018/03/02,device/generic/mini-emulator-x86_64,device/generic/mini-emulator-x86_64,Modified Projects,1,1,9,10,1
2018/03/02,platform/packages/providers/ApplicationsProvider,platform/packages/providers/ApplicationsProvider,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/python/parse,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/cn-cbor,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/inputmethods/OpenWnn,platform/packages/inputmethods/OpenWnn,Modified Projects,4,4,3,7,2
2018/03/02,platform/external/apache-xml,platform/external/apache-xml,Modified Projects,1,2,0,2,1
2018/03/02,platform/external/nist-sip,platform/external/nist-sip,Modified Projects,3,51,0,51,3
2018/03/02,platform/external/python/setuptools,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/hardware/qcom/msm8x84,platform/hardware/qcom/msm8x84,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/oauth,platform/external/oauth,Intact Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/Dialer,platform/packages/apps/Dialer,Modified Projects,7114,363546,114872,478418,736
2018/03/02,platform/external/neven,platform/external/neven,Modified Projects,4,155,121,276,4
2018/03/02,platform/external/libmicrohttpd,platform/external/libmicrohttpd,Modified Projects,1,7,1,8,1
2018/03/02,platform/external/libese,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/EmergencyInfo,platform/packages/apps/EmergencyInfo,Modified Projects,153,4574,2608,7182,70
2018/03/02,platform/external/google-breakpad,platform/external/google-breakpad,Modified Projects,2,31,2,33,4
2018/03/02,platform/external/jdiff,platform/external/jdiff,Modified Projects,21,781,737,1518,5
2018/03/02,platform/hardware/qcom/msm8960,platform/hardware/qcom/msm8960,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/v4l2_codec2,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/sqlite,platform/external/sqlite,Modified Projects,20,117255,44754,162009,30
2018/03/02,platform/packages/screensavers/PhotoTable,platform/packages/screensavers/PhotoTable,Modified Projects,33,25,22,47,5
2018/03/02,platform/packages/apps/Car/Settings,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/services/BuiltInPrintService,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/external/jsr330,platform/external/jsr330,Modified Projects,2,39,50,89,2
2018/03/02,platform/external/nanopb-c,platform/external/nanopb-c,Modified Projects,2,46,62,108,3
2018/03/02,platform/cts,platform/cts,Modified Projects,7531,792553,144723,937276,4325
2018/03/02,platform/external/proguard,platform/external/proguard,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/libxml2,platform/external/libxml2,Modified Projects,499,56435,6404,62839,239
2018/03/02,platform/external/jcommander,platform/external/jcommander,Modified Projects,2,34,51,85,2
2018/03/02,platform/packages/apps/Nfc,platform/packages/apps/Nfc,Modified Projects,301,24141,32900,57041,121
2018/03/02,platform/test/vts-testcase/hal,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/hardware/intel/sensors,platform/hardware/intel/sensors,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/tremolo,platform/external/tremolo,Modified Projects,5,337,292,629,8
2018/03/02,platform/external/pdfium,platform/external/pdfium,Modified Projects,2980,460282,512194,972476,10
2018/03/02,device/linaro/bootloader/edk2,,Downstream Only Projects,0,0,0,0,0
2018/03/02,platform/packages/apps/Settings,platform/packages/apps/Settings,Modified Projects,2811,374428,181665,556093,2477
2018/03/02,platform/system/tools/aidl,platform/system/tools/aidl,Modified Projects,53,2265,788,3053,50
2018/03/02,platform/external/timezonepicker-support,platform/external/timezonepicker-support,Intact Projects,0,0,0,0,0
2018/03/02,platform/external/toybox,platform/external/toybox,Modified Projects,314,13263,7877,21140,533
2018/03/02,platform/frameworks/base,platform/frameworks/base,Modified Projects,22628,1269993,2773648,4043641,12698
2018/03/02,platform/packages/apps/Launcher3,platform/packages/apps/Launcher3,Modified Projects,1124,63660,52848,116508,1111
2018/03/02,platform/packages/apps/Launcher2,platform/packages/apps/Launcher2,Modified Projects,32,23,15,38,17
2018/03/02,platform/frameworks/ex,platform/frameworks/ex,Modified Projects,22,208,65,273,20
2018/03/02,platform/frameworks/opt/net/ims,platform/frameworks/opt/net/ims,Modified Projects,25,3592,3455,7047,70
