Path,Tag,v3.7
/system/${LIB}/android.hardware.tests.multithread@1.0.so,VNDK,
/system/${LIB}/android.hardware.tests.pointer@1.0.so,VNDK,
/system/${LIB}/android.hardware.tetheroffload.config@1.0.so,VNDK,
/system/${LIB}/android.hardware.tetheroffload.control@1.0.so,VNDK,
/system/${LIB}/android.hardware.thermal@1.0.so,VNDK,
/system/${LIB}/android.hardware.thermal@1.1.so,VNDK,
/system/${LIB}/android.hardware.tv.cec@1.0.so,VNDK,
/system/${LIB}/android.hardware.tv.input@1.0.so,VNDK,
/system/${LIB}/android.hardware.usb@1.0.so,VNDK,
/system/${LIB}/android.hardware.usb@1.1.so,VNDK,
/system/${LIB}/android.hardware.vibrator@1.0.so,VNDK,
/system/${LIB}/android.hardware.vibrator@1.1.so,VNDK,
/system/${LIB}/android.hardware.vr@1.0.so,VNDK,
/system/${LIB}/android.hardware.weaver@1.0.so,VNDK,
/system/${LIB}/android.hardware.wifi.offload@1.0.so,VNDK,
/system/${LIB}/android.hardware.wifi.supplicant@1.0.so,VNDK,
/system/${LIB}/android.hardware.wifi@1.0.so,VNDK,
/system/${LIB}/android.hardware.wifi@1.1.so,VNDK,
/system/${LIB}/android.hidl.allocator@1.0.so,VNDK,
/system/${LIB}/android.hidl.memory@1.0.so,VNDK-SP,
/system/${LIB}/android.hidl.token@1.0-utils.so,VNDK,
/system/${LIB}/android.hidl.token@1.0.so,VNDK,
/system/${LIB}/android.system.net.netd@1.0.so,VNDK,
/system/${LIB}/android.system.wifi.keystore@1.0.so,VNDK,
/system/${LIB}/drm/libfwdlockengine.so,FWK-ONLY,
/system/${LIB}/hw/audio.a2dp.default.so,FWK-ONLY,
/system/${LIB}/hw/bluetooth.default.so,FWK-ONLY,
/system/${LIB}/hw/keystore.default.so,FWK-ONLY,
/system/${LIB}/ld-android.so,LL-NDK-Indirect,
/system/${LIB}/libEGL.so,SP-NDK,
/system/${LIB}/libETC1.so,FWK-ONLY,
/system/${LIB}/libFFTEm.so,FWK-ONLY,
/system/${LIB}/libGLESv1_CM.so,SP-NDK,
/system/${LIB}/libGLESv2.so,SP-NDK,
/system/${LIB}/libGLESv3.so,SP-NDK,
/system/${LIB}/libLLVM.so,FWK-ONLY,
/system/${LIB}/libOpenMAXAL.so,FWK-ONLY,
/system/${LIB}/libOpenSLES.so,FWK-ONLY,
/system/${LIB}/libRS.so,FWK-ONLY,
/system/${LIB}/libRSCpuRef.so,VNDK-SP,
/system/${LIB}/libRSDriver.so,VNDK-SP,
/system/${LIB}/libRS_internal.so,VNDK-SP,
/system/${LIB}/libRScpp.so,FWK-ONLY,
/system/${LIB}/libWnnEngDic.so,FWK-ONLY,
/system/${LIB}/libWnnJpnDic.so,FWK-ONLY,
/system/${LIB}/libaaudio.so,FWK-ONLY,
/system/${LIB}/libandroid.so,FWK-ONLY,
/system/${LIB}/libandroid_net.so,LL-NDK,
/system/${LIB}/libandroid_runtime.so,FWK-ONLY,
/system/${LIB}/libandroid_servers.so,FWK-ONLY,
/system/${LIB}/libandroidfw.so,FWK-ONLY,
/system/${LIB}/libappfuse.so,FWK-ONLY,
/system/${LIB}/libart-compiler.so,FWK-ONLY,
/system/${LIB}/libart-dexlayout.so,FWK-ONLY,
/system/${LIB}/libart-disassembler.so,FWK-ONLY,
/system/${LIB}/libart.so,FWK-ONLY,
/system/${LIB}/libaudioclient.so,FWK-ONLY,
/system/${LIB}/libaudioeffect_jni.so,FWK-ONLY,
/system/${LIB}/libaudioflinger.so,FWK-ONLY,
/system/${LIB}/libaudiohal.so,FWK-ONLY,
/system/${LIB}/libaudiomanager.so,FWK-ONLY,
/system/${LIB}/libaudiopolicyenginedefault.so,FWK-ONLY,
/system/${LIB}/libaudiopolicymanager.so,FWK-ONLY,
/system/${LIB}/libaudiopolicymanagerdefault.so,FWK-ONLY,
/system/${LIB}/libaudiopolicyservice.so,FWK-ONLY,
/system/${LIB}/libaudioprocessing.so,FWK-ONLY,
/system/${LIB}/libaudioroute.so,VNDK,
/system/${LIB}/libaudiospdif.so,FWK-ONLY,
/system/${LIB}/libaudioutils.so,VNDK,
/system/${LIB}/libavservices_minijail.so,VNDK,
/system/${LIB}/libbacktrace.so,VNDK-SP-Indirect,
/system/${LIB}/libbase.so,VNDK-SP,
/system/${LIB}/libbatteryservice.so,FWK-ONLY,
/system/${LIB}/libbcc.so,FWK-ONLY,
/system/${LIB}/libbcinfo.so,VNDK-SP,
/system/${LIB}/libbinder.so,VNDK,
/system/${LIB}/libbinderwrapper.so,FWK-ONLY,
/system/${LIB}/libblas.so,VNDK-SP-Indirect-Private,
/system/${LIB}/libbluetooth_jni.so,FWK-ONLY,
/system/${LIB}/libbrillo-binder.so,FWK-ONLY,
/system/${LIB}/libbrillo-stream.so,FWK-ONLY,
/system/${LIB}/libbrillo.so,FWK-ONLY,
/system/${LIB}/libc++.so,VNDK-SP,
/system/${LIB}/libc.so,LL-NDK,
/system/${LIB}/libc_malloc_debug.so,LL-NDK-Indirect,
/system/${LIB}/libcamera2ndk.so,FWK-ONLY,
/system/${LIB}/libcamera_client.so,FWK-ONLY,
/system/${LIB}/libcamera_metadata.so,VNDK,
/system/${LIB}/libcameraservice.so,FWK-ONLY,
/system/${LIB}/libcap.so,VNDK,
/system/${LIB}/libchrome.so,FWK-ONLY,
/system/${LIB}/libclang_rt.ubsan_standalone-aarch64-android.so,VNDK,
/system/${LIB}/libclang_rt.ubsan_standalone-arm-android.so,VNDK,
/system/${LIB}/libclang_rt.ubsan_standalone-i686-android.so,VNDK,
/system/${LIB}/libclang_rt.ubsan_standalone-mips-android.so,VNDK,
/system/${LIB}/libclang_rt.ubsan_standalone-mips64-android.so,VNDK,
/system/${LIB}/libclang_rt.ubsan_standalone-x86_64-android.so,VNDK,
/system/${LIB}/libcompiler_rt.so,VNDK-SP-Indirect-Private,
/system/${LIB}/libcrypto.so,VNDK,
/system/${LIB}/libcrypto_utils.so,VNDK,
/system/${LIB}/libcups.so,FWK-ONLY,
/system/${LIB}/libcurl.so,VNDK,
/system/${LIB}/libcutils.so,VNDK-SP,
/system/${LIB}/libdebuggerd_client.so,FWK-ONLY,
/system/${LIB}/libdefcontainer_jni.so,FWK-ONLY,
/system/${LIB}/libdiskconfig.so,VNDK,
/system/${LIB}/libdl.so,LL-NDK,
/system/${LIB}/libdng_sdk.so,FWK-ONLY,
/system/${LIB}/libdrmframework.so,FWK-ONLY,
/system/${LIB}/libdrmframework_jni.so,FWK-ONLY,
/system/${LIB}/libdumpstateaidl.so,FWK-ONLY,
/system/${LIB}/libdumpstateutil.so,VNDK,
/system/${LIB}/libevent.so,VNDK,
/system/${LIB}/libexif.so,VNDK,
/system/${LIB}/libexpat.so,VNDK,
/system/${LIB}/libext2_blkid.so,FWK-ONLY,
/system/${LIB}/libext2_com_err.so,FWK-ONLY,
/system/${LIB}/libext2_e2p.so,FWK-ONLY,
/system/${LIB}/libext2_quota.so,FWK-ONLY,
/system/${LIB}/libext2_uuid.so,FWK-ONLY,
/system/${LIB}/libext2fs.so,FWK-ONLY,
/system/${LIB}/libext4_utils.so,FWK-ONLY,
/system/${LIB}/libf2fs_sparseblock.so,FWK-ONLY,
/system/${LIB}/libfilterfw.so,FWK-ONLY,
/system/${LIB}/libfilterpack_imageproc.so,FWK-ONLY,
/system/${LIB}/libfmq.so,VNDK,
/system/${LIB}/libframesequence.so,FWK-ONLY,
/system/${LIB}/libft2.so,FWK-ONLY-RS,
/system/${LIB}/libgatekeeper.so,VNDK,
/system/${LIB}/libgiftranscode.so,FWK-ONLY,
/system/${LIB}/libgui.so,VNDK,
/system/${LIB}/libhardware.so,VNDK-SP,
/system/${LIB}/libhardware_legacy.so,VNDK,
/system/${LIB}/libharfbuzz_ng.so,FWK-ONLY,
/system/${LIB}/libhidcommand_jni.so,FWK-ONLY,
/system/${LIB}/libhidl-gen-utils.so,FWK-ONLY,
/system/${LIB}/libhidlbase.so,VNDK-SP,
/system/${LIB}/libhidlmemory.so,VNDK-SP,
/system/${LIB}/libhidltransport.so,VNDK-SP,
/system/${LIB}/libhwbinder.so,VNDK-SP,
/system/${LIB}/libhwui.so,FWK-ONLY,
/system/${LIB}/libicui18n.so,VNDK,
/system/${LIB}/libicuuc.so,VNDK,
/system/${LIB}/libimg_utils.so,FWK-ONLY,
/system/${LIB}/libincident.so,FWK-ONLY,
/system/${LIB}/libinput.so,FWK-ONLY,
/system/${LIB}/libinputflinger.so,FWK-ONLY,
/system/${LIB}/libinputservice.so,FWK-ONLY,
/system/${LIB}/libion.so,VNDK-SP,
/system/${LIB}/libiperf.so,FWK-ONLY,
/system/${LIB}/libiprouteutil.so,FWK-ONLY,
/system/${LIB}/libjavacore.so,FWK-ONLY,
/system/${LIB}/libjavacrypto.so,FWK-ONLY,
/system/${LIB}/libjni_eglfence.so,FWK-ONLY,
/system/${LIB}/libjni_filtershow_filters.so,FWK-ONLY,
/system/${LIB}/libjni_jpegstream.so,FWK-ONLY,
/system/${LIB}/libjni_jpegutil.so,FWK-ONLY,
/system/${LIB}/libjni_latinime.so,FWK-ONLY,
/system/${LIB}/libjni_pacprocessor.so,FWK-ONLY,
/system/${LIB}/libjni_tinyplanet.so,FWK-ONLY,
/system/${LIB}/libjnigraphics.so,FWK-ONLY,
/system/${LIB}/libjpeg.so,VNDK,
/system/${LIB}/libkeymaster_messages.so,VNDK,
/system/${LIB}/libkeymaster_portable.so,VNDK,
/system/${LIB}/libkeymaster_staging.so,VNDK,
/system/${LIB}/libkeystore-engine.so,FWK-ONLY,
/system/${LIB}/libkeystore_binder.so,FWK-ONLY,
/system/${LIB}/libldacBT_abr.so,VNDK,
/system/${LIB}/libldacBT_enc.so,VNDK,
/system/${LIB}/liblog.so,LL-NDK,
/system/${LIB}/liblogcat.so,FWK-ONLY,
/system/${LIB}/liblogwrap.so,FWK-ONLY,
/system/${LIB}/liblz4.so,VNDK,
/system/${LIB}/liblzma.so,VNDK-SP-Indirect,
/system/${LIB}/libm.so,LL-NDK,
/system/${LIB}/libmdnssd.so,FWK-ONLY,
/system/${LIB}/libmedia.so,FWK-ONLY,
/system/${LIB}/libmedia_helper.so,VNDK,
/system/${LIB}/libmedia_jni.so,FWK-ONLY,
/system/${LIB}/libmedia_omx.so,VNDK,
/system/${LIB}/libmediadrm.so,FWK-ONLY,
/system/${LIB}/libmediaextractorservice.so,FWK-ONLY,
/system/${LIB}/libmedialogservice.so,FWK-ONLY,
/system/${LIB}/libmediametrics.so,FWK-ONLY,
/system/${LIB}/libmediandk.so,FWK-ONLY-RS,
/system/${LIB}/libmediautils.so,FWK-ONLY,
/system/${LIB}/libmemtrack.so,VNDK,
/system/${LIB}/libmemunreachable.so,FWK-ONLY,
/system/${LIB}/libmetricslogger.so,FWK-ONLY,
/system/${LIB}/libmidi.so,FWK-ONLY,
/system/${LIB}/libminijail.so,VNDK,
/system/${LIB}/libminikin.so,FWK-ONLY,
/system/${LIB}/libmtp.so,FWK-ONLY,
/system/${LIB}/libnativebridge.so,FWK-ONLY,
/system/${LIB}/libnativehelper.so,FWK-ONLY,
/system/${LIB}/libnativeloader.so,FWK-ONLY,
/system/${LIB}/libnativewindow.so,SP-NDK,
/system/${LIB}/libnbaio.so,FWK-ONLY,
/system/${LIB}/libnetd_client.so,LL-NDK-Indirect,
/system/${LIB}/libnetdaidl.so,FWK-ONLY,
/system/${LIB}/libnetlink.so,FWK-ONLY,
/system/${LIB}/libnetutils.so,VNDK,
/system/${LIB}/libnl.so,VNDK,
/system/${LIB}/libopenjdk.so,FWK-ONLY,
/system/${LIB}/libopenjdkjvm.so,FWK-ONLY,
/system/${LIB}/libopenjdkjvmti.so,FWK-ONLY,
/system/${LIB}/libopus.so,VNDK,
/system/${LIB}/libpac.so,FWK-ONLY,
/system/${LIB}/libpackagelistparser.so,FWK-ONLY,
/system/${LIB}/libpagemap.so,VNDK,
/system/${LIB}/libpcap.so,FWK-ONLY,
/system/${LIB}/libpcre2.so,VNDK,
/system/${LIB}/libpcrecpp.so,FWK-ONLY,
/system/${LIB}/libpdfium.so,FWK-ONLY,
/system/${LIB}/libpiex.so,VNDK,
/system/${LIB}/libpixelflinger.so,FWK-ONLY,
/system/${LIB}/libpng.so,VNDK,
/system/${LIB}/libpower.so,VNDK,
/system/${LIB}/libpowermanager.so,FWK-ONLY,
/system/${LIB}/libprintspooler_jni.so,FWK-ONLY,
/system/${LIB}/libprocessgroup.so,FWK-ONLY,
/system/${LIB}/libprocinfo.so,VNDK,
/system/${LIB}/libprotobuf-cpp-full.so,VNDK,
/system/${LIB}/libprotobuf-cpp-lite.so,VNDK,
/system/${LIB}/libradio_metadata.so,VNDK,
/system/${LIB}/librs_jni.so,FWK-ONLY,
/system/${LIB}/librtp_jni.so,FWK-ONLY,
/system/${LIB}/libschedulerservicehidl.so,FWK-ONLY,
/system/${LIB}/libselinux.so,FWK-ONLY,
/system/${LIB}/libsensor.so,FWK-ONLY,
/system/${LIB}/libsensorservice.so,FWK-ONLY,
/system/${LIB}/libsensorservicehidl.so,FWK-ONLY,
/system/${LIB}/libservices.so,FWK-ONLY,
/system/${LIB}/libserviceutility.so,FWK-ONLY,
/system/${LIB}/libsigchain.so,FWK-ONLY,
/system/${LIB}/libskia.so,FWK-ONLY,
/system/${LIB}/libsoftkeymaster.so,FWK-ONLY,
/system/${LIB}/libsoftkeymasterdevice.so,VNDK,
/system/${LIB}/libsonic.so,FWK-ONLY,
/system/${LIB}/libsonivox.so,FWK-ONLY,
/system/${LIB}/libsoundpool.so,FWK-ONLY,
/system/${LIB}/libsoundtrigger.so,FWK-ONLY,
/system/${LIB}/libsoundtriggerservice.so,FWK-ONLY,
/system/${LIB}/libsparse.so,FWK-ONLY,
/system/${LIB}/libspeexresampler.so,VNDK,
/system/${LIB}/libsqlite.so,VNDK,
/system/${LIB}/libssl.so,VNDK,
/system/${LIB}/libstagefright.so,FWK-ONLY,
/system/${LIB}/libstagefright_amrnb_common.so,VNDK,
/system/${LIB}/libstagefright_enc_common.so,VNDK,
/system/${LIB}/libstagefright_flacdec.so,VNDK,
/system/${LIB}/libstagefright_foundation.so,VNDK,
/system/${LIB}/libstagefright_http_support.so,FWK-ONLY,
/system/${LIB}/libstagefright_omx.so,VNDK,
/system/${LIB}/libstagefright_soft_aacdec.so,VNDK,
/system/${LIB}/libstagefright_soft_aacenc.so,VNDK,
/system/${LIB}/libstagefright_soft_amrdec.so,VNDK,
/system/${LIB}/libstagefright_soft_amrnbenc.so,VNDK,
/system/${LIB}/libstagefright_soft_amrwbenc.so,VNDK,
/system/${LIB}/libstagefright_soft_avcdec.so,VNDK,
/system/${LIB}/libstagefright_soft_avcenc.so,VNDK,
/system/${LIB}/libstagefright_soft_flacdec.so,VNDK,
/system/${LIB}/libstagefright_soft_flacenc.so,VNDK,
/system/${LIB}/libstagefright_soft_g711dec.so,VNDK,
/system/${LIB}/libstagefright_soft_gsmdec.so,VNDK,
/system/${LIB}/libstagefright_soft_hevcdec.so,VNDK,
/system/${LIB}/libstagefright_soft_mp3dec.so,VNDK,
/system/${LIB}/libstagefright_soft_mpeg2dec.so,VNDK,
/system/${LIB}/libstagefright_soft_mpeg4dec.so,VNDK,
/system/${LIB}/libstagefright_soft_mpeg4enc.so,VNDK,
/system/${LIB}/libstagefright_soft_opusdec.so,VNDK,
/system/${LIB}/libstagefright_soft_rawdec.so,VNDK,
/system/${LIB}/libstagefright_soft_vorbisdec.so,VNDK,
/system/${LIB}/libstagefright_soft_vpxdec.so,VNDK,
/system/${LIB}/libstagefright_soft_vpxenc.so,VNDK,
/system/${LIB}/libstagefright_xmlparser.so,VNDK,
/system/${LIB}/libstdc++.so,LL-NDK,
/system/${LIB}/libsurfaceflinger.so,FWK-ONLY,
/system/${LIB}/libsurfaceflinger_ddmconnection.so,FWK-ONLY,
/system/${LIB}/libsuspend.so,VNDK,
/system/${LIB}/libsync.so,SP-NDK,
/system/${LIB}/libsysutils.so,VNDK,
/system/${LIB}/libtextclassifier.so,FWK-ONLY,
/system/${LIB}/libtinyalsa.so,VNDK,
/system/${LIB}/libtinyxml2.so,VNDK,
/system/${LIB}/libui.so,VNDK,
/system/${LIB}/libunwind.so,VNDK-SP-Indirect,
/system/${LIB}/libunwindstack.so,VNDK,
/system/${LIB}/libusbhost.so,VNDK,
/system/${LIB}/libutils.so,VNDK-SP,
/system/${LIB}/libvintf.so,FWK-ONLY,
/system/${LIB}/libvixl-arm.so,VNDK,
/system/${LIB}/libvixl-arm64.so,VNDK,
/system/${LIB}/libvndksupport.so,LL-NDK,
/system/${LIB}/libvorbisidec.so,VNDK,
/system/${LIB}/libvulkan.so,SP-NDK,
/system/${LIB}/libwebviewchromium_loader.so,FWK-ONLY,
/system/${LIB}/libwebviewchromium_plat_support.so,FWK-ONLY,
/system/${LIB}/libwfds.so,FWK-ONLY,
/system/${LIB}/libwifi-service.so,FWK-ONLY,
/system/${LIB}/libwifi-system-iface.so,VNDK,
/system/${LIB}/libwifi-system.so,FWK-ONLY,
/system/${LIB}/libwifikeystorehal.so,FWK-ONLY,
/system/${LIB}/libwilhelm.so,FWK-ONLY,
/system/${LIB}/libwnndict.so,FWK-ONLY,
/system/${LIB}/libxml2.so,VNDK,
/system/${LIB}/libyuv.so,VNDK,
/system/${LIB}/libz.so,LL-NDK-Indirect,
/system/${LIB}/libziparchive.so,VNDK,
/system/${LIB}/tests.vendor@1.0.so,VNDK,
/system/${LIB}/tests.vendor@1.1.so,VNDK,
/system/${LIB}/vndk-sp/android.hardware.graphics.allocator@2.0.so,VNDK-SP,
/system/${LIB}/vndk-sp/android.hardware.graphics.common@1.0.so,VNDK-SP,
/system/${LIB}/vndk-sp/android.hardware.graphics.mapper@2.0.so,VNDK-SP,
/system/${LIB}/vndk-sp/android.hardware.renderscript@1.0.so,VNDK-SP,
/system/${LIB}/vndk-sp/android.hidl.memory@1.0-impl.so,VNDK-SP-Indirect-Private,
/system/${LIB}/vndk-sp/android.hidl.memory@1.0.so,VNDK-SP,
/system/${LIB}/vndk-sp/libRS.so,VNDK-SP,
/system/${LIB}/vndk-sp/libRSCpuRef.so,VNDK-SP,
/system/${LIB}/vndk-sp/libRSDriver.so,VNDK-SP,
/system/${LIB}/vndk-sp/libRS_internal.so,VNDK-SP,
/system/${LIB}/vndk-sp/libbacktrace.so,VNDK-SP-Indirect,
/system/${LIB}/vndk-sp/libbase.so,VNDK-SP,
/system/${LIB}/vndk-sp/libbcinfo.so,VNDK-SP,
/system/${LIB}/vndk-sp/libblas.so,VNDK-SP-Indirect-Private,
/system/${LIB}/vndk-sp/libc++.so,VNDK-SP,
/system/${LIB}/vndk-sp/libcompiler_rt.so,VNDK-SP-Indirect-Private,
/system/${LIB}/vndk-sp/libcutils.so,VNDK-SP,
/system/${LIB}/vndk-sp/libhardware.so,VNDK-SP,
/system/${LIB}/vndk-sp/libhidlbase.so,VNDK-SP,
/system/${LIB}/vndk-sp/libhidlmemory.so,VNDK-SP,
/system/${LIB}/vndk-sp/libhidltransport.so,VNDK-SP,
/system/${LIB}/vndk-sp/libhwbinder.so,VNDK-SP,
/system/${LIB}/vndk-sp/libion.so,VNDK-SP,
/system/${LIB}/vndk-sp/liblzma.so,VNDK-SP-Indirect,
/system/${LIB}/vndk-sp/libunwind.so,VNDK-SP-Indirect,
/system/${LIB}/vndk-sp/libunwindstack.so,VNDK-SP-Indirect,
/system/${LIB}/vndk-sp/libutils.so,VNDK-SP,
/system/${LIB}/vndk-sp/libz.so,VNDK-SP,
/system/${LIB}/vndk/android.frameworks.displayservice@1.0.so,VNDK,
/system/${LIB}/vndk/android.frameworks.schedulerservice@1.0.so,VNDK,
/system/${LIB}/vndk/android.frameworks.sensorservice@1.0.so,VNDK,
/system/${LIB}/vndk/android.frameworks.vr.composer@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.audio.common@2.0-util.so,VNDK,
/system/${LIB}/vndk/android.hardware.audio.common@2.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.audio.effect@2.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.audio@2.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.automotive.evs@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.automotive.vehicle@2.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.automotive.vehicle@2.1.so,VNDK,
/system/${LIB}/vndk/android.hardware.biometrics.fingerprint@2.1.so,VNDK,
/system/${LIB}/vndk/android.hardware.bluetooth@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.boot@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.broadcastradio@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.broadcastradio@1.1.so,VNDK,
/system/${LIB}/vndk/android.hardware.camera.common@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.camera.device@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.camera.device@3.2.so,VNDK,
/system/${LIB}/vndk/android.hardware.camera.metadata@3.2.so,VNDK,
/system/${LIB}/vndk/android.hardware.camera.provider@2.4.so,VNDK,
/system/${LIB}/vndk/android.hardware.cas.native@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.cas@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.configstore-utils.so,VNDK,
/system/${LIB}/vndk/android.hardware.configstore@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.configstore@1.1.so,VNDK,
/system/${LIB}/vndk/android.hardware.contexthub@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.drm@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.dumpstate@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.gatekeeper@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.gnss@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.graphics.bufferqueue@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.graphics.composer@2.1.so,VNDK,
/system/${LIB}/vndk/android.hardware.health@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.ir@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.keymaster@3.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.light@2.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.media.omx@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.media@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.memtrack@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.neuralnetworks@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.nfc@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.oemlock@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.power@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.power@1.1.so,VNDK,
/system/${LIB}/vndk/android.hardware.radio.deprecated@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.radio@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.radio@1.1.so,VNDK,
/system/${LIB}/vndk/android.hardware.sensors@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.soundtrigger@2.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.tests.bar@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.tests.baz@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.tests.expression@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.tests.extension.light@2.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.tests.foo@1.0.so,VNDK,
/system/${LIB}/vndk/android.hardware.tests.hash@1.0.so,VNDK,
